id,full_title,chinese_title,english_title,release_date,parsed_chinese,parsed_english,notes
1260,青春來接招 Greatest Days,青春來接招 Greatest,Greatest Days,2025-02-21,青春來接招,Greatest Days,與 chinese_title 不同: 青春來接招 Greatest
1261,感應 Presence,感應,Presence,2025-02-14,感應,Presence,
1262,哈爾濱 Harbin,哈爾濱,Harbin,2025-01-29,哈爾濱,Harbin,
1263,柏靈頓：熊熊去秘魯 Paddington in Peru,柏靈頓：熊熊去秘魯,Paddington in Peru,2025-01-25,柏靈頓：熊熊去秘魯,Paddington in Peru,
1264,獅子王：木法沙 Mufasa: The Lion King,獅子王：木法沙,Mufasa: The Lion King,2024-12-19,獅子王：木法沙,Mufasa: The Lion King,
1265,破·地獄 Po · Dei Juk,破·地獄 Po · Dei,Po · Dei Juk,2024-12-06,破·地獄,Po · Dei Juk,與 chinese_title 不同: 破·地獄 Po · Dei
1266,海洋奇緣2 Moana 2,海洋奇緣2 Moana,Moana 2,2024-11-28,海洋奇緣2,Moana 2,與 chinese_title 不同: 海洋奇緣2 Moana
1267,星際寶貝：史迪奇 Lilo & Stitch,星際寶貝：史迪奇,Lilo & Stitch,2025-05-22,星際寶貝：史迪奇,Lilo & Stitch,
1268,搜查瑠公圳 Where the River Flows,搜查瑠公圳 Where the River,Where the River Flows,2025-05-22,搜查瑠公圳,Where the River Flows,與 chinese_title 不同: 搜查瑠公圳 Where the River
1269,絕命終結站 血脈 Final Destination: Bloodlines,絕命終結站,血脈 Final Destination: Bloodlines,2025-05-14,絕命終結站 血脈,Final Destination: Bloodlines,與 chinese_title 不同: 絕命終結站 | 與 english_title 不同: 血脈 Final Destination: Bloodlines
1270,老派 Analog,老派,Analog,2025-05-16,老派,Analog,
1271,怒女 Wannabe,怒女,Wannabe,2025-05-16,怒女,Wannabe,
1272,此刻的我們 We Live in Time,此刻的我們 We Live in,We Live in Time,2025-05-16,此刻的我們,We Live in Time,與 chinese_title 不同: 此刻的我們 We Live in
1273,蝸牛少女回憶錄 Memoir of a Snail,蝸牛少女回憶錄 Memoir of a,Memoir of a Snail,2025-05-16,蝸牛少女回憶錄,Memoir of a Snail,與 chinese_title 不同: 蝸牛少女回憶錄 Memoir of a
1274,第一夫人的逆襲 Bernadette,第一夫人的逆襲,Bernadette,2025-05-16,第一夫人的逆襲,Bernadette,
1275,不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,不可能的任務：最終清算,Mission: Impossible - The Final Reckoning,2025-05-17,不可能的任務：最終清算,Mission: Impossible - The Final Reckoning,
1276,殭屍合唱團：夢想未完 Hung Up on a Dream,殭屍合唱團：夢想未完,Hung Up on a Dream,2025-05-16,殭屍合唱團：夢想未完,Hung Up on a Dream,
1277,對街的小星星 Solitude,對街的小星星,Solitude,2025-05-16,對街的小星星,Solitude,
1278,雷霆特攻隊* Thunderbolts,雷霆特攻隊*,Thunderbolts,2025-04-30,雷霆特攻隊*,Thunderbolts,
1279,獵金·遊戲 A Gilded Game,獵金·遊戲 A Gilded,A Gilded Game,2025-05-09,獵金·遊戲,A Gilded Game,與 chinese_title 不同: 獵金·遊戲 A Gilded
1280,聖夜：惡魔都市 Holy Night: Demon Hunters,聖夜：惡魔都市,Holy Night: Demon Hunters,2025-04-30,聖夜：惡魔都市,Holy Night: Demon Hunters,
1281,會計師2 The Accountant 2,會計師2 The Accountant,The Accountant 2,2025-04-24,會計師2,The Accountant 2,與 chinese_title 不同: 會計師2 The Accountant
1282,MINECRAFT麥塊電影 A Minecraft Movie,MINECRAFT麥塊電影 A Minecraft,A Minecraft Movie,2025-04-02,MINECRAFT麥塊電影,A Minecraft Movie,與 chinese_title 不同: MINECRAFT麥塊電影 A Minecraft
1283,夏日最後的祕密 Summer Blue Hour,夏日最後的祕密 Summer Blue,Summer Blue Hour,2025-04-30,夏日最後的祕密,Summer Blue Hour,與 chinese_title 不同: 夏日最後的祕密 Summer Blue
1284,花束般的戀愛 We Made a Beautiful Bouquet,花束般的戀愛 We Made a Beautiful,We Made a Beautiful Bouquet,2025-04-30,花束般的戀愛,We Made a Beautiful Bouquet,與 chinese_title 不同: 花束般的戀愛 We Made a Beautiful
1285,有病才會喜歡你 Lovesick,有病才會喜歡你,Lovesick,2025-04-02,有病才會喜歡你,Lovesick,
1286,禁夜屍 Rosario,禁夜屍,Rosario,2025-05-09,禁夜屍,Rosario,
1287,冥婚鬧泰大 The Red Envelope,冥婚鬧泰大 The Red,The Red Envelope,2025-05-09,冥婚鬧泰大,The Red Envelope,與 chinese_title 不同: 冥婚鬧泰大 The Red
1288,罪人 Sinners,罪人,Sinners,2025-04-17,罪人,Sinners,
1289,囍宴 The Wedding Banquet,囍宴 The Wedding,The Wedding Banquet,2025-05-09,囍宴,The Wedding Banquet,與 chinese_title 不同: 囍宴 The Wedding
1290,萬王之王 The King of Kings,萬王之王 The King of,The King of Kings,2025-04-18,萬王之王,The King of Kings,與 chinese_title 不同: 萬王之王 The King of
1291,"宮﨑駿的奇幻世界 Miyazaki, Spirit of Nature","宮﨑駿的奇幻世界 Miyazaki, Spirit of","Miyazaki, Spirit of Nature",2025-05-09,宮﨑駿的奇幻世界,"Miyazaki, Spirit of Nature","與 chinese_title 不同: 宮﨑駿的奇幻世界 Miyazaki, Spirit of"
1292,取精急轉彎 Spermageddon,取精急轉彎,Spermageddon,2025-04-25,取精急轉彎,Spermageddon,
1293,ATEEZ演唱會電影 ATEEZ WORLD TOUR,ATEEZ演唱會電影 ATEEZ WORLD,ATEEZ WORLD TOUR,2025-05-09,ATEEZ演唱會電影,ATEEZ WORLD TOUR,與 chinese_title 不同: ATEEZ演唱會電影 ATEEZ WORLD
1294,超時空武士 A Samurai in Time,超時空武士 A Samurai in,A Samurai in Time,2025-05-09,超時空武士,A Samurai in Time,與 chinese_title 不同: 超時空武士 A Samurai in
1295,怪獸8號：Mission Recon Kaiju No.8,怪獸8號：Mission,Recon Kaiju No.8,2025-05-01,怪獸8號：Mission,Recon Kaiju No.8,
1296,所以親親會消失對不對 My Love Will Make You Disappear,所以親親會消失對不對 My Love Will Make You,My Love Will Make You Disappear,2025-05-09,所以親親會消失對不對,My Love Will Make You Disappear,與 chinese_title 不同: 所以親親會消失對不對 My Love Will Make You
1297,GIVEN被贈與的未來劇場版：去海邊 Given 3: To the Sea,GIVEN被贈與的未來劇場版：去海邊,Given 3: To the Sea,2025-04-02,GIVEN被贈與的未來劇場版：去海邊,Given 3: To the Sea,
1298,長安三萬里 Chang An,長安三萬里 Chang,Chang An,2025-04-30,長安三萬里,Chang An,與 chinese_title 不同: 長安三萬里 Chang
1299,誰在看著我們 Who are Watching over us,誰在看著我們 Who are Watching over,Who are Watching over us,2025-05-09,誰在看著我們,Who are Watching over us,與 chinese_title 不同: 誰在看著我們 Who are Watching over
1300,沈睡的水下巨人 Shipwrecks Taiwan,沈睡的水下巨人 Shipwrecks,Shipwrecks Taiwan,2025-04-25,沈睡的水下巨人,Shipwrecks Taiwan,與 chinese_title 不同: 沈睡的水下巨人 Shipwrecks
1301,直到黎明 UNTIL DAWN,直到黎明 UNTIL,UNTIL DAWN,2025-04-25,直到黎明,UNTIL DAWN,與 chinese_title 不同: 直到黎明 UNTIL
1302,劇場版 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,劇場版,世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,2025-03-28,劇場版 世界計畫,Colorful Stage! The Movie: A Miku Who Can't Sing,與 chinese_title 不同: 劇場版 | 與 english_title 不同: 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing
1303,奧德蓋任務 Old Guy,奧德蓋任務 Old,Old Guy,2025-05-09,奧德蓋任務,Old Guy,與 chinese_title 不同: 奧德蓋任務 Old
1304,歌劇生死戀 The Opera!,歌劇生死戀 The,The Opera!,2025-05-09,歌劇生死戀,The Opera!,與 chinese_title 不同: 歌劇生死戀 The
1305,秘密會議 Conclave,秘密會議,Conclave,2025-03-07,秘密會議,Conclave,
1306,跳進部落的孩子 Dancing Home,跳進部落的孩子 Dancing,Dancing Home,2025-04-30,跳進部落的孩子,Dancing Home,與 chinese_title 不同: 跳進部落的孩子 Dancing
1307,器子 Organ Girl,器子 Organ,Organ Girl,2025-04-11,器子,Organ Girl,與 chinese_title 不同: 器子 Organ
1308,少年與狗 The Boy and the Dog,少年與狗 The Boy and the,The Boy and the Dog,2025-04-25,少年與狗,The Boy and the Dog,與 chinese_title 不同: 少年與狗 The Boy and the
1309,北極小迷狐：吉娜&尤克 Kina & Yuk,北極小迷狐：吉娜&尤克,Kina & Yuk,2025-04-25,北極小迷狐：吉娜&尤克,Kina & Yuk,
1310,鬼房客 The Tenant,鬼房客 The,The Tenant,2025-04-25,鬼房客,The Tenant,與 chinese_title 不同: 鬼房客 The
1311,叛逃公主歷險記 Rebellious,叛逃公主歷險記,Rebellious,2025-04-04,叛逃公主歷險記,Rebellious,
1312,366日 366 Days,366日 366,366 Days,2025-04-02,366日,366 Days,與 chinese_title 不同: 366日 366
1313,夏之庭 The Friends(1994),夏之庭 The,The Friends(1994),2025-04-02,夏之庭,The Friends(1994),與 chinese_title 不同: 夏之庭 The
1314,我依然在此 I'm Still Here,我依然在此 I'm Still,I'm Still Here,2025-04-02,我依然在此,I'm Still Here,與 chinese_title 不同: 我依然在此 I'm Still
1315,我在平行時空戀上妳 My Beloved Stranger,我在平行時空戀上妳 My Beloved,My Beloved Stranger,2025-04-02,我在平行時空戀上妳,My Beloved Stranger,與 chinese_title 不同: 我在平行時空戀上妳 My Beloved
1316,超人力霸王雅克 Ultraman Arc the Movie,超人力霸王雅克 Ultraman Arc the,Ultraman Arc the Movie,2025-04-02,超人力霸王雅克,Ultraman Arc the Movie,與 chinese_title 不同: 超人力霸王雅克 Ultraman Arc the
1317,型男主廚三星夢：巴黎篇 Grand Maison Paris,型男主廚三星夢：巴黎篇,Grand Maison Paris,2025-03-28,型男主廚三星夢：巴黎篇,Grand Maison Paris,
1318,青春末世物語 Happyend,青春末世物語,Happyend,2025-03-21,青春末世物語,Happyend,
1319,喵的奇幻漂流 Flow,喵的奇幻漂流,Flow,2025-02-21,喵的奇幻漂流,Flow,
1320,我們的恐龍日記 Crayon Shinchan the Movie: Our Dinosaur Diary,我們的恐龍日記,Crayon Shinchan the Movie: Our Dinosaur Diary,2024-08-16,我們的恐龍日記,Crayon Shinchan the Movie: Our Dinosaur Diary,
1321,屍咒 The Sin,屍咒 The,The Sin,2024-04-03,屍咒,The Sin,與 chinese_title 不同: 屍咒 The
1322,赤心巔峰 Braving the Peak,赤心巔峰 Braving the,Braving the Peak,2023-12-15,赤心巔峰,Braving the Peak,與 chinese_title 不同: 赤心巔峰 Braving the
1323,第一爐香 Love After Love (2020),第一爐香 Love After Love,Love After Love (2020),2022-01-14,第一爐香,Love After Love (2020),與 chinese_title 不同: 第一爐香 Love After Love
1324,綁架影帝黃晸珉 Hostage: Missing Celebrity,綁架影帝黃晸珉,Hostage: Missing Celebrity,2021-09-17,綁架影帝黃晸珉,Hostage: Missing Celebrity,
1325,留給未來的殘影 Afterimage for Tomorrow,留給未來的殘影 Afterimage for,Afterimage for Tomorrow,2020-01-15,留給未來的殘影,Afterimage for Tomorrow,與 chinese_title 不同: 留給未來的殘影 Afterimage for
1326,小王子 Little Prince,小王子 Little,Little Prince,2015-10-23,小王子,Little Prince,與 chinese_title 不同: 小王子 Little
1327,舞池漫波 Bodies of Water,舞池漫波 Bodies of,Bodies of Water,,舞池漫波,Bodies of Water,與 chinese_title 不同: 舞池漫波 Bodies of
1328,我的乳房逃跑中 The Elephant I Found Under My Skin,我的乳房逃跑中 The Elephant I Found Under My,The Elephant I Found Under My Skin,,我的乳房逃跑中,The Elephant I Found Under My Skin,與 chinese_title 不同: 我的乳房逃跑中 The Elephant I Found Under My
1329,石像鬼歹逗陣 Gargoyle Doyle,石像鬼歹逗陣 Gargoyle,Gargoyle Doyle,,石像鬼歹逗陣,Gargoyle Doyle,與 chinese_title 不同: 石像鬼歹逗陣 Gargoyle
1330,心的告白 Heartbeat,心的告白,Heartbeat,,心的告白,Heartbeat,
1331,茶道小精靈：千 Sen,茶道小精靈：千,Sen,,茶道小精靈：千,Sen,
1332,何處 Where,何處,Where,,何處,Where,
1333,窒息倒數 Last Breath,窒息倒數 Last,Last Breath,2025-02-28,窒息倒數,Last Breath,與 chinese_title 不同: 窒息倒數 Last
1334,台北追緝令 Weekend in Taipei,台北追緝令 Weekend in,Weekend in Taipei,2024-09-25,台北追緝令,Weekend in Taipei,與 chinese_title 不同: 台北追緝令 Weekend in
1335,非紳士特攻隊 The Ministry of Ungentlemanly Warfare,非紳士特攻隊 The Ministry of Ungentlemanly,The Ministry of Ungentlemanly Warfare,2024-04-19,非紳士特攻隊,The Ministry of Ungentlemanly Warfare,與 chinese_title 不同: 非紳士特攻隊 The Ministry of Ungentlemanly
1336,美國隊長：無畏新世界 Captain America: Brave New World,美國隊長：無畏新世界,Captain America: Brave New World,2025-02-12,美國隊長：無畏新世界,Captain America: Brave New World,
1337,夜校女生 The Uniform,夜校女生 The,The Uniform,2025-02-27,夜校女生,The Uniform,與 chinese_title 不同: 夜校女生 The
1338,2018大洪水 2018：Everyone is a Hero,2018大洪水,2018：Everyone is a Hero,2025-02-21,2018大洪水,2018：Everyone is a Hero,
1339,青春來接招 Greatest Days,青春來接招 Greatest,Greatest Days,2025-02-21,青春來接招,Greatest Days,與 chinese_title 不同: 青春來接招 Greatest
1340,感應 Presence,感應,Presence,2025-02-14,感應,Presence,
1341,哈爾濱 Harbin,哈爾濱,Harbin,2025-01-29,哈爾濱,Harbin,
1342,柏靈頓：熊熊去秘魯 Paddington in Peru,柏靈頓：熊熊去秘魯,Paddington in Peru,2025-01-25,柏靈頓：熊熊去秘魯,Paddington in Peru,
1343,獅子王：木法沙 Mufasa: The Lion King,獅子王：木法沙,Mufasa: The Lion King,2024-12-19,獅子王：木法沙,Mufasa: The Lion King,
1344,破·地獄 Po · Dei Juk,破·地獄 Po · Dei,Po · Dei Juk,2024-12-06,破·地獄,Po · Dei Juk,與 chinese_title 不同: 破·地獄 Po · Dei
1345,海洋奇緣2 Moana 2,海洋奇緣2 Moana,Moana 2,2024-11-28,海洋奇緣2,Moana 2,與 chinese_title 不同: 海洋奇緣2 Moana
1346,星際寶貝：史迪奇 Lilo & Stitch,星際寶貝：史迪奇,Lilo & Stitch,2025-05-22,星際寶貝：史迪奇,Lilo & Stitch,
1347,搜查瑠公圳 Where the River Flows,搜查瑠公圳 Where the River,Where the River Flows,2025-05-22,搜查瑠公圳,Where the River Flows,與 chinese_title 不同: 搜查瑠公圳 Where the River
1348,我依然在此 I'm Still Here,我依然在此 I'm Still,I'm Still Here,2025-04-02,我依然在此,I'm Still Here,與 chinese_title 不同: 我依然在此 I'm Still
1349,屍咒 The Sin,屍咒 The,The Sin,2024-04-03,屍咒,The Sin,與 chinese_title 不同: 屍咒 The
1350,赤心巔峰 Braving the Peak,赤心巔峰 Braving the,Braving the Peak,2023-12-15,赤心巔峰,Braving the Peak,與 chinese_title 不同: 赤心巔峰 Braving the
